Anon605243428;19;0;0;14;9;1;4;0;1;1500;1500;1368;1500;1500;1500;1500;1368;1500;1500;1500;1500
WhiteFire;9;0;9;0;7;6;0;0;0;1280;1500;1500;1500;1500;1280;1500;1500;1500;1500;1500;1500
Jobber;2100;194;4506;712;4735;676;302;271;281;1659;1690;1465;1500;1564;1958;1730;1641;1500;1656;1460;1500
NO WOMB;48;15;114;13;107;12;5;11;6;2000;1500;1503;1500;1500;2000;1500;1503;1500;1500;1500;1500
Player 5;1;0;0;1;4;0;0;0;0;1500;1506;1500;1500;1500;1500;1506;1500;1500;1500;1500;1500
punchyouinthefaceman;86;1;95;29;140;26;6;1;3;1531;1379;1496;1500;1500;1531;1379;1496;1500;1500;1500;1500
Zizi;14;0;20;5;22;1;4;0;0;1526;1500;1426;1500;1500;1557;1500;1500;1500;1500;1500;1500
Forever;78;6;112;21;144;20;9;4;3;1392;1365;1467;1500;1501;1392;1365;1467;1500;1501;1500;1500
nakadashi MASTER;124;8;325;41;276;71;13;15;10;1794;1486;1500;1500;1500;1794;1486;1500;1500;1500;1500;1500
SumGui;12;4;30;4;17;2;2;1;3;1697;1500;1512;1500;1500;1697;1500;1512;1500;1500;1500;1500
Fangfag;9;0;11;6;11;1;2;0;1;1458;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Eternal Virgin;199;6;341;69;387;73;29;0;4;1196;1219;1457;1500;1416;1196;1219;1457;1500;1416;1500;1500
Cpt.Fucklenuts;5;0;8;4;10;3;0;0;0;1442;1500;1500;1500;1500;1442;1500;1500;1500;1500;1500;1500
sex defender;6;0;6;3;11;3;0;0;0;1270;1500;1500;1500;1500;1270;1500;1500;1500;1500;1500;1500
DEAD GROOMERS;21;9;51;5;46;7;1;3;3;1792;1500;1500;1500;1500;1792;1500;1500;1500;1500;1500;1500
Jim Robless;545;10;1105;165;1342;271;83;25;27;1386;1482;1458;1500;1530;1682;1490;1458;1500;1687;1500;1500
FuckingCasual;1;1;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
merp;178;11;241;49;254;32;12;24;16;1271;1514;1461;1500;1500;1500;1514;1500;1500;1500;1500;1500
Soggo;108;9;273;34;262;44;19;16;23;1724;1920;1518;1500;1500;1724;1920;1518;1500;1500;1500;1500
v   i   s;17;1;5;2;7;0;0;9;0;1491;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Peekend;34;1;64;7;85;1;4;2;4;1830;1500;1500;1500;1500;1855;1500;1500;1500;1500;1500;1500
Nakadashi MASTER;595;82;1367;167;1181;238;53;75;88;1818;1865;1779;1500;1489;1818;1865;1779;1500;1489;1500;1500
pyo;1591;211;4021;473;3544;615;205;210;161;1826;1749;1634;1500;1446;1994;1863;1746;1500;1487;1500;1500
Copen Seethenstein;138;8;187;51;266;56;7;13;17;1373;1323;1338;1500;1500;1373;1323;1338;1500;1500;1500;1500
Mono;678;106;1747;343;1738;331;84;97;66;1654;1759;1484;1500;1467;1866;1769;1515;1500;1467;1500;1500
naggotfigger;94;3;162;47;143;83;10;0;0;1314;1217;1113;1500;1500;1314;1217;1113;1500;1500;1500;1500
Player 2;20;7;5;4;7;3;0;3;2;1557;1410;1500;1500;1500;1557;1410;1500;1500;1500;1500;1500
turbo nigger;15;0;14;5;21;8;1;0;0;1370;1254;1500;1500;1500;1370;1254;1500;1500;1500;1500;1500
Sluggish;15;0;15;6;29;1;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
OREWA;16;0;21;3;24;6;1;0;1;1312;1500;1500;1500;1500;1312;1500;1500;1500;1500;1500;1500
Soviet;7;3;2;2;4;0;0;0;0;1510;1500;1500;1500;1500;1510;1500;1500;1500;1500;1500;1500
Racc;12;0;35;3;18;5;4;0;1;1654;1500;1597;1500;1500;1663;1500;1597;1500;1500;1500;1500
Knuckles;0;0;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Anon;1;0;0;0;0;1;0;0;1;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Adol;15;0;16;10;42;8;5;0;0;1227;1413;1500;1500;1500;1227;1413;1500;1500;1500;1500;1500
Wigger;5;0;0;0;3;0;0;0;0;1453;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Microsoft Powerpoint;5;0;15;3;15;3;1;1;0;1500;1542;1500;1500;1500;1500;1542;1500;1500;1500;1500;1500
Fred;54;1;70;20;102;16;6;1;6;1414;1439;1497;1500;1500;1414;1439;1497;1500;1500;1500;1500
percy;4;0;8;0;5;1;0;0;0;1500;1437;1500;1500;1500;1500;1437;1500;1500;1500;1500;1500
nigger;4;2;3;2;4;0;0;2;0;1482;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
